event_id,match_id,match_label,period,time_start,time_end,frame_start,frame_end,player_id,player_name,team_id,team_shortname,event_subtype,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,targeted,received,received_in_space,dangerous,xthreat,team_in_possession_phase_type,team_out_of_possession_phase_type,high_intensity
1_177,2015213,Western United v Auckland FC,1,33:34.1,33:37.6,22351,22386,163972,M. Mata,4177,Auckland FC,run_ahead_of_the_ball,10.26,-6.66,26.82,-7.04,center,center,middle_third,attacking_third,False,False,16.26,17.09,running,forward,0.0,0.0,,0.0,0.0155,finish,low_block,False
1_178,2015213,Western United v Auckland FC,1,33:34.1,33:40.1,22351,22411,14736,L. Verstraete,4177,Auckland FC,coming_short,-8.59,-3.1,13.46,-21.06,center,wide_right,middle_third,middle_third,False,False,30.08,18.02,running,forward,1.0,1.0,1.0,0.0,0.0026,finish,low_block,False
1_179,2015213,Western United v Auckland FC,1,33:40.8,33:41.9,22418,22429,4322,H. Sakai,4177,Auckland FC,run_ahead_of_the_ball,25.91,-32.42,30.72,-32.99,wide_right,wide_right,attacking_third,attacking_third,False,False,4.45,15.83,running,forward,0.0,0.0,,0.0,0.0074,finish,low_block,False
1_180,2015213,Western United v Auckland FC,1,33:51.9,33:53.2,22529,22542,38673,G. May,4177,Auckland FC,coming_short,15.47,6.41,10.93,9.71,center,half_space_left,middle_third,middle_third,False,False,5.21,15.53,running,backward,0.0,0.0,,0.0,0.0025,create,medium_block,False
1_181,2015213,Western United v Auckland FC,1,34:07.1,34:08.3,22681,22693,33697,N. Pijnaker,4177,Auckland FC,dropping_off,-18.46,6.4,-20.28,11.47,center,half_space_left,defensive_third,defensive_third,False,False,5.39,16.08,running,sideway_left,1.0,1.0,1.0,0.0,0.0004,create,medium_block,False
1_182,2015213,Western United v Auckland FC,1,34:11.3,34:14.0,22723,22750,163972,M. Mata,4177,Auckland FC,run_ahead_of_the_ball,7.85,12.82,20.31,21.75,half_space_left,wide_left,middle_third,attacking_third,False,False,15.36,20.71,hsr,forward,1.0,1.0,0.0,0.0,0.006,direct,defending_direct,True
1_183,2015213,Western United v Auckland FC,1,34:34.1,34:41.4,22951,23024,14736,L. Verstraete,4177,Auckland FC,support,-2.14,12.61,14.83,-13.16,half_space_left,half_space_right,middle_third,middle_third,False,False,36.73,18.27,running,sideway_right,0.0,0.0,,0.0,0.0039,finish,low_block,False
1_184,2015213,Western United v Auckland FC,1,34:38.8,34:41.1,22998,23021,38673,G. May,4177,Auckland FC,run_ahead_of_the_ball,20.99,3.51,31.42,0.52,center,center,attacking_third,attacking_third,False,False,10.57,17.1,running,forward,0.0,0.0,,1.0,0.0905,finish,low_block,False
1_185,2015213,Western United v Auckland FC,1,34:38.9,34:41.8,22999,23028,133501,L. Rogerson,4177,Auckland FC,run_ahead_of_the_ball,19.6,-16.63,34.62,-17.94,half_space_right,half_space_right,attacking_third,attacking_third,False,False,15.09,19.3,running,forward,1.0,0.0,,0.0,0.0175,finish,low_block,False
1_186,2015213,Western United v Auckland FC,1,35:13.0,35:19.2,23340,23402,560916,N. Botić,1803,Western United,run_ahead_of_the_ball,-0.11,-8.08,32.93,-7.15,center,center,middle_third,attacking_third,False,False,33.66,15.89,running,forward,0.0,0.0,,1.0,0.0281,finish,low_block,False
1_187,2015213,Western United v Auckland FC,1,35:13.4,35:19.4,23344,23404,26844,R. Danzaki,1803,Western United,run_ahead_of_the_ball,2.59,-32.06,32.46,-29.36,wide_right,wide_right,middle_third,attacking_third,False,False,31.97,16.13,running,forward,1.0,1.0,1.0,0.0,0.009,finish,low_block,False
1_188,2015213,Western United v Auckland FC,1,35:18.3,35:21.3,23393,23423,795527,M. Grimaldi,1803,Western United,cross_receiver,20.2,7.05,32.17,-0.69,center,center,attacking_third,attacking_third,False,False,14.73,15.68,running,forward,0.0,0.0,,1.0,0.0349,finish,low_block,False
1_189,2015213,Western United v Auckland FC,1,35:18.3,35:22.1,23393,23431,51008,T. Imai,1803,Western United,underlap,18.59,-21.5,43.54,-16.7,wide_right,half_space_right,attacking_third,attacking_third,False,True,25.73,23.97,hsr,forward,0.0,0.0,,1.0,0.0546,finish,low_block,True
1_190,2015213,Western United v Auckland FC,1,35:53.8,35:56.6,23748,23776,582974,M. Francois,4177,Auckland FC,support,-12.31,21.93,2.45,26.15,wide_left,wide_left,middle_third,middle_third,False,False,15.61,19.95,running,forward,1.0,1.0,1.0,0.0,0.0112,create,medium_block,False
1_191,2015213,Western United v Auckland FC,1,35:55.9,36:00.4,23769,23814,133498,F. De Vries,4177,Auckland FC,underlap,-17.53,27.11,11.87,30.97,wide_left,wide_left,middle_third,middle_third,False,False,29.4,24.14,hsr,forward,0.0,0.0,,0.0,0.013,create,medium_block,True
1_192,2015213,Western United v Auckland FC,1,36:12.5,36:13.3,23935,23943,14736,L. Verstraete,4177,Auckland FC,coming_short,-4.12,-2.34,-6.88,-4.4,center,center,middle_third,middle_third,False,False,3.46,15.49,running,backward,0.0,0.0,,0.0,0.0015,create,medium_block,False
1_193,2015213,Western United v Auckland FC,1,36:14.5,36:16.8,23955,23978,14736,L. Verstraete,4177,Auckland FC,coming_short,-10.67,-3.22,-12.67,7.94,center,center,middle_third,middle_third,False,False,11.0,17.76,running,sideway_left,0.0,0.0,,0.0,0.0019,create,medium_block,False
1_194,2015213,Western United v Auckland FC,1,36:17.5,36:20.9,23985,24019,23418,F. Gallegos,4177,Auckland FC,run_ahead_of_the_ball,-13.44,16.74,8.06,18.01,half_space_left,half_space_left,middle_third,middle_third,False,False,21.63,22.9,hsr,forward,0.0,0.0,,0.0,0.0079,create,medium_block,True
1_195,2015213,Western United v Auckland FC,1,36:18.6,36:22.4,23996,24034,582974,M. Francois,4177,Auckland FC,run_ahead_of_the_ball,5.05,21.53,26.34,31.38,wide_left,wide_left,middle_third,attacking_third,False,False,23.46,22.09,hsr,forward,1.0,1.0,1.0,0.0,0.0052,create,medium_block,True
